Animals,Leavings,Rarity_Value,Num_Uniques
"['Beachcomb/Glyptodon Pup', 'Beachcomb/Glyptodon Pup', 'Amethyst Spriggan', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.64,10
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Coblyn', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Carapace': 3.0, 'Fang': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.55,10
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Goobue', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.82,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Alligator', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.82,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Carapace': 3.0, 'Fang': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fur': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.55,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.82,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Feather': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.55,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Feather': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Goobue', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.91,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fur': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,10
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.82,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Feather': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Apkallu of Paradise']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.82,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Chocobo', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Feather': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Coblyn', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Carapace': 3.0, 'Fang': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.36,10
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Goobue', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Alligator', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Carapace': 3.0, 'Fang': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.45,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fur': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.36,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Milk': 2.0, 'Egg': 2.0, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Paissa', 'Aurochs/Island Nanny', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.36,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Milk': 2.0, 'Egg': 2.0, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.55,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Coblyn', 'Wild Boar', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Goobue', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Egg': 2.0, 'Claw': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fur': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.45,10
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.45,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Milk': 2.0, 'Egg': 2.0, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Wild Boar', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Aurochs/Island Nanny', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Horn': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.45,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Milk': 2.0, 'Egg': 2.0, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Island Billy', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 2.5, 'Carapace': 2.5, 'Fleece': 2.0, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.64,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Doe', 'Wild Boar', 'Tiger/Quartz Spriggan/Weird Spriggan', 'Apkallu', 'Glyptodon', 'Ornery Karakul', 'Rare Boar', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Fang': 3.0, 'Carapace': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,11
"['Beachcomb/Glyptodon Pup', 'Yellow Coblyn/Morbol', 'Island Stag', 'Coblyn', 'Coblyn', 'Apkallu', 'Ground Squirrel/Opo-Opo', 'Ornery Karakul', 'Grand Buffalo', 'Dodo of Paradise/Gold Back/Alkonost', 'Blue Back/Dodo']","{'Carapace': 3.0, 'Fang': 2.5, 'Egg': 2.0, 'Milk': 1.5, 'Horn': 1.5, 'Fur': 1.5, 'Fleece': 1.5, 'Feather': 1.5, 'Claw': 1.5}",0.73,10
